Source,Target,weight
1010,156,2020
1013,565,2020
1015,39,2018
1018,385,2018
1020,79,2023
1022,84,2020
1023,1908,2020
1024,714,2022
1025,234,2020
1027,584,2023
1027,15,2021
1028,1347,2020
1037,1130,2020
1037,245,2020
1041,1008,2021
1041,814,2021
814,1008,2021
1041,106,2020
1041,130,2018
430,130,2018
1046,1078,2021
1046,1905,2021
1078,1905,2023
1047,1995,2019
1047,1640,2018
1050,165,2022
1053,31,2023
1053,47,2022
1053,121,2021
1055,1231,2022
1055,1311,2022
1056,413,2020
1056,1242,2020
1056,536,2019
1058,1046,2018
1059,131,2019
1061,636,2022
1062,483,2023
1066,1354,2023
1068,876,2022
1069,1711,2018
1070,1178,2021
1074,1705,2020
1076,818,2021
1076,550,2019
1076,626,2018
1076,1937,2018
1078,1873,2021
1080,173,2019
1081,1183,2019
1082,159,2020
1085,1500,2022
1085,1140,2022
1085,898,2021
1085,1323,2021
1085,294,2019
1087,19,2023
1089,-1,2022
1091,1133,2023
1092,1036,2021
1092,385,2019
1096,754,2019
1096,1123,2019
1099,1576,2020
1105,233,2022
1105,1085,2021
1105,1537,2020
219,706,2018
1108,1851,2022
1110,1325,2019
1116,1987,2023
1116,1141,2021
1116,1197,2020
1197,1141,2023
1117,767,2019
1119,976,2021
1120,1114,2024
1120,516,2023
1122,1699,2023
1122,870,2019
1123,1488,2020
1125,1335,2023
1125,1127,2020
1126,716,2019
1132,1671,2021
1138,300,2021
1138,176,2020
1138,1006,2019
1138,250,2018
1138,1844,2018
1140,1258,2023
1140,1500,2022
1140,39,2020
1140,429,2020
1140,1290,2020
1140,248,2018
1142,966,2022
1142,388,2020
1143,11,2020
1143,757,2020
1150,548,2023
1151,128,2023
1156,1814,2019
1160,894,2021
1165,30,2023
1165,342,2022
1165,1856,2019
1170,1078,2023
1170,39,2020
1171,19,2021
1171,414,2021
1171,787,2020
1171,1293,2019
1171,518,2019
1171,601,2019
1172,439,2022
385,54,2022
1173,1858,2023
1175,118,2023
1175,1200,2018
1179,152,2022
1183,19,2021
1183,215,2019
135,2,2022
1185,1620,2021
1185,1183,2020
1186,641,2023
1190,1295,2023
1191,723,2023
1191,1488,2022
1191,297,2022
1191,554,2022
297,554,2022
1191,159,2019
1192,1258,2022
1193,650,2021
1194,1782,2021
1197,195,2022
1198,1240,2021
1199,369,2023
1199,4,2023
1199,1620,2021
1620,369,2021
